rep_id,name,specialty,quarter,closed_amount,quarterly_quota,attainment_pct,tenure_months_at_quarter_end
REP-01,Diego Park,Enterprise,2023Q1,1158960.0,500000.0,2.31792,14.257555847568987
REP-02,Hayden Chen,Enterprise,2023Q1,966480.0,500000.0,1.93296,13.173455978975033
REP-03,Kai Anderson,Enterprise,2023Q1,159720.0,500000.0,0.31944,9.362680683311432
REP-04,Morgan Shah,Enterprise,2023Q1,247080.0,500000.0,0.49416,4.763469119579501
REP-01,Diego Park,Enterprise,2023Q2,527400.0,500000.0,1.0548,17.24704336399474
REP-02,Hayden Chen,Enterprise,2023Q2,296760.0,500000.0,0.59352,16.16294349540079
REP-03,Kai Anderson,Enterprise,2023Q2,2061240.0,500000.0,4.12248,12.352168199737187
REP-04,Morgan Shah,Enterprise,2023Q2,267720.0,500000.0,0.53544,7.752956636005256
REP-01,Diego Park,Enterprise,2023Q3,1141080.0,500000.0,2.28216,20.269382391590014
REP-02,Hayden Chen,Enterprise,2023Q3,171000.0,500000.0,0.342,19.185282522996058
REP-03,Kai Anderson,Enterprise,2023Q3,412440.0,500000.0,0.82488,15.374507227332456
REP-04,Morgan Shah,Enterprise,2023Q3,1463040.0,500000.0,2.92608,10.775295663600525
REP-01,Diego Park,Enterprise,2023Q4,88560.0,500000.0,0.17712,23.291721419185283
REP-02,Hayden Chen,Enterprise,2023Q4,72000.0,500000.0,0.144,22.207621550591327
REP-03,Kai Anderson,Enterprise,2023Q4,132600.0,500000.0,0.2652,18.396846254927727
REP-04,Morgan Shah,Enterprise,2023Q4,138240.0,500000.0,0.27648,13.797634691195794
REP-05,Alex Wilson,Mid-Market,2023Q4,1050120.0,150000.0,7.0008,2.431011826544021
REP-01,Diego Park,Enterprise,2024Q1,973800.0,500000.0,1.9476,26.281208935611037
REP-02,Hayden Chen,Enterprise,2024Q1,94920.0,500000.0,0.18984,25.19710906701708
REP-03,Kai Anderson,Enterprise,2024Q1,1234680.0,500000.0,2.46936,21.38633377135348
REP-04,Morgan Shah,Enterprise,2024Q1,15720.0,500000.0,0.03144,16.78712220762155
REP-05,Alex Wilson,Mid-Market,2024Q1,493440.0,150000.0,3.2896,5.4204993429697765
REP-06,Logan Cohen,Mid-Market,2024Q1,472560.0,150000.0,3.1504,2.266754270696452
REP-07,Quinn Kim,Mid-Market,2024Q1,46080.0,150000.0,0.3072,1.2483574244415243
REP-08,Phoenix Martinez,Mid-Market,2024Q1,0.0,150000.0,0.0,0.39421813403416556
REP-01,Diego Park,Enterprise,2024Q2,18600.0,500000.0,0.0372,29.27069645203679
REP-02,Hayden Chen,Enterprise,2024Q2,98160.0,500000.0,0.19632,28.18659658344284
REP-03,Kai Anderson,Enterprise,2024Q2,1827120.0,500000.0,3.65424,24.375821287779235
REP-04,Morgan Shah,Enterprise,2024Q2,166200.0,500000.0,0.3324,19.776609724047304
REP-05,Alex Wilson,Mid-Market,2024Q2,503280.0,150000.0,3.3552,8.409986859395532
REP-06,Logan Cohen,Mid-Market,2024Q2,177000.0,150000.0,1.18,5.256241787122208
REP-07,Quinn Kim,Mid-Market,2024Q2,117840.0,150000.0,0.7856,4.23784494086728
REP-08,Phoenix Martinez,Mid-Market,2024Q2,345600.0,150000.0,2.304,3.383705650459921
REP-01,Diego Park,Enterprise,2024Q3,22320.0,500000.0,0.04464,32.29303547963206
REP-02,Hayden Chen,Enterprise,2024Q3,449160.0,500000.0,0.89832,31.208935611038108
REP-03,Kai Anderson,Enterprise,2024Q3,287400.0,500000.0,0.5748,27.398160315374508
REP-04,Morgan Shah,Enterprise,2024Q3,62280.0,500000.0,0.12456,22.798948751642573
REP-05,Alex Wilson,Mid-Market,2024Q3,204840.0,150000.0,1.3656,11.432325886990801
REP-06,Logan Cohen,Mid-Market,2024Q3,264360.0,150000.0,1.7624,8.278580814717477
REP-07,Quinn Kim,Mid-Market,2024Q3,540840.0,150000.0,3.6056,7.260183968462549
REP-08,Phoenix Martinez,Mid-Market,2024Q3,336000.0,150000.0,2.24,6.40604467805519
REP-01,Diego Park,Enterprise,2024Q4,50280.0,500000.0,0.10056,35.31537450722733
REP-02,Hayden Chen,Enterprise,2024Q4,739800.0,500000.0,1.4796,34.23127463863337
REP-03,Kai Anderson,Enterprise,2024Q4,683520.0,500000.0,1.36704,30.420499342969777
REP-04,Morgan Shah,Enterprise,2024Q4,87120.0,500000.0,0.17424,25.821287779237842
REP-05,Alex Wilson,Mid-Market,2024Q4,323040.0,150000.0,2.1536,14.45466491458607
REP-06,Logan Cohen,Mid-Market,2024Q4,58440.0,150000.0,0.3896,11.300919842312746
REP-07,Quinn Kim,Mid-Market,2024Q4,98640.0,150000.0,0.6576,10.282522996057818
REP-08,Phoenix Martinez,Mid-Market,2024Q4,291360.0,150000.0,1.9424,9.42838370565046
REP-09,Taylor Bhatt,SMB,2024Q4,95640.0,80000.0,1.1955,0.9526938239159001
REP-01,Diego Park,Enterprise,2025Q1,0.0,500000.0,0.0,38.272010512483575
REP-02,Hayden Chen,Enterprise,2025Q1,0.0,500000.0,0.0,37.187910643889616
REP-03,Kai Anderson,Enterprise,2025Q1,429000.0,500000.0,0.858,33.37713534822602
REP-04,Morgan Shah,Enterprise,2025Q1,0.0,500000.0,0.0,28.777923784494085
REP-05,Alex Wilson,Mid-Market,2025Q1,308040.0,150000.0,2.0536,17.41130091984231
REP-06,Logan Cohen,Mid-Market,2025Q1,178560.0,150000.0,1.1904,14.257555847568987
REP-07,Quinn Kim,Mid-Market,2025Q1,290520.0,150000.0,1.9368,13.23915900131406
REP-08,Phoenix Martinez,Mid-Market,2025Q1,0.0,150000.0,0.0,12.3850197109067
REP-09,Taylor Bhatt,SMB,2025Q1,112800.0,80000.0,1.41,3.9093298291721417
REP-10,Avery Garcia,SMB,2025Q1,87960.0,80000.0,1.0995,2.8580814717477003
REP-11,Rowan Okafor,SMB,2025Q1,67200.0,80000.0,0.84,2.2339027595269383
REP-01,Diego Park,Enterprise,2025Q2,178560.0,500000.0,0.35712,41.26149802890933
REP-02,Hayden Chen,Enterprise,2025Q2,449280.0,500000.0,0.89856,40.17739816031537
REP-03,Kai Anderson,Enterprise,2025Q2,240000.0,500000.0,0.48,36.366622864651774
REP-04,Morgan Shah,Enterprise,2025Q2,0.0,500000.0,0.0,31.76741130091984
REP-05,Alex Wilson,Mid-Market,2025Q2,517440.0,150000.0,3.4496,20.40078843626807
REP-06,Logan Cohen,Mid-Market,2025Q2,372960.0,150000.0,2.4864,17.24704336399474
REP-07,Quinn Kim,Mid-Market,2025Q2,144000.0,150000.0,0.96,16.228646517739815
REP-08,Phoenix Martinez,Mid-Market,2025Q2,147720.0,150000.0,0.9848,15.374507227332456
REP-09,Taylor Bhatt,SMB,2025Q2,48960.0,80000.0,0.612,6.898817345597897
REP-10,Avery Garcia,SMB,2025Q2,89400.0,80000.0,1.1175,5.847568988173456
REP-11,Rowan Okafor,SMB,2025Q2,61560.0,80000.0,0.7695,5.223390275952694
REP-12,Blake Reyes,SMB,2025Q2,61320.0,80000.0,0.7665,2.628120893561104
REP-01,Diego Park,Enterprise,2025Q3,0.0,500000.0,0.0,44.283837056504595
REP-02,Hayden Chen,Enterprise,2025Q3,966000.0,500000.0,1.932,43.19973718791064
REP-03,Kai Anderson,Enterprise,2025Q3,0.0,500000.0,0.0,39.38896189224704
REP-04,Morgan Shah,Enterprise,2025Q3,387000.0,500000.0,0.774,34.78975032851511
REP-05,Alex Wilson,Mid-Market,2025Q3,0.0,150000.0,0.0,23.423127463863338
REP-06,Logan Cohen,Mid-Market,2025Q3,235440.0,150000.0,1.5696,20.269382391590014
REP-07,Quinn Kim,Mid-Market,2025Q3,280800.0,150000.0,1.872,19.250985545335084
REP-08,Phoenix Martinez,Mid-Market,2025Q3,284400.0,150000.0,1.896,18.396846254927727
REP-09,Taylor Bhatt,SMB,2025Q3,75960.0,80000.0,0.9495,9.921156373193167
REP-10,Avery Garcia,SMB,2025Q3,105600.0,80000.0,1.32,8.869908015768726
REP-11,Rowan Okafor,SMB,2025Q3,95280.0,80000.0,1.191,8.245729303547963
REP-12,Blake Reyes,SMB,2025Q3,106560.0,80000.0,1.332,5.650459921156373
REP-01,Diego Park,Enterprise,2025Q4,0.0,500000.0,0.0,47.30617608409987
REP-02,Hayden Chen,Enterprise,2025Q4,474000.0,500000.0,0.948,46.222076215505915
REP-03,Kai Anderson,Enterprise,2025Q4,0.0,500000.0,0.0,42.41130091984231
REP-04,Morgan Shah,Enterprise,2025Q4,681000.0,500000.0,1.362,37.81208935611038
REP-05,Alex Wilson,Mid-Market,2025Q4,357360.0,150000.0,2.3824,26.445466491458607
REP-06,Logan Cohen,Mid-Market,2025Q4,86400.0,150000.0,0.576,23.291721419185283
REP-07,Quinn Kim,Mid-Market,2025Q4,190080.0,150000.0,1.2672,22.273324572930353
REP-08,Phoenix Martinez,Mid-Market,2025Q4,307080.0,150000.0,2.0472,21.419185282522996
REP-09,Taylor Bhatt,SMB,2025Q4,115920.0,80000.0,1.449,12.943495400788436
REP-10,Avery Garcia,SMB,2025Q4,54120.0,80000.0,0.6765,11.892247043363994
REP-11,Rowan Okafor,SMB,2025Q4,81600.0,80000.0,1.02,11.268068331143231
REP-12,Blake Reyes,SMB,2025Q4,93000.0,80000.0,1.1625,8.672798948751643
